Name.ID;Day;Month;Amount;Frequency;;;
Amazon Prime;11;11;39;A;;;
Github Private;19;;7;M;;;
Permis Conduire;4;7;82.24;A;;;
Appartement Loyer;1;;500;M;;;
Passe Metro;1;;49.95;M;;;
Coffee;;;0.5;D;;;
;;;;;;;
;;;;;;;
;;;;;;;
Daily;;;Monthly;;;Annualy;
Name.ID;Amount;;Name.ID;Amount;;Name.ID;Amount
Coffee; 0,50 $ ;;Github Private; 7,00 $ ;;Amazon Prime; 39,00 $ 
;;;Appartement Loyer; 500,00 $ ;;Permis Conduire; 82,24 $ 
;;;Passe Metro; 49,95 $ ;;;
;;;Food; 500,00 $ ;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Total per Day; 36,06 $ ;;;;;;
Total per Month; 1Ê081,91 $ ;;;;;;
Total per Year; 13Ê171,95 $ ;;;;;;
